store_name,date,type,floor,enter_cnt,exit_cnt,enter_rate,watcher_cnt,female,ageless16,age17to30,age31to45,age46to60,bodyfat,bodynormal,bodythin,customer,employee,hs_baldhead,hs_hat,hs_glasses
ARIOSE years,2021-02-13,accessories,L2,481,241,0.038123167,1194,0.567867,0.0138504,0.587258,0.376731,0.0221607,0.0277008,0.944598,0.0277008,0.998615,0.00138504,0,0.0387812,0.0609418
RE-BLUE,2021-02-02,fashions,L2,143,106,0.04424505,243,0.742972,0.064257,0.417671,0.457831,0.060241,0.0481928,0.911647,0.0401606,1,0,0,0.0843374,0.0160643
OSIM,2021-02-18,consumer electronics,L4,89,94,0.01411802,399,0.688525,0.103825,0.262295,0.573771,0.0601093,0.010929,0.923497,0.0655738,0.994536,0.00546448,0,0.0273224,0.0327869
ARIOSE years,2021-02-06,accessories,L2,460,239,0.041875284,962,0.552217,0.00715308,0.599428,0.363376,0.0300429,0.0300429,0.944206,0.0257511,1,0,0,0.0386266,0.0772532
AIMERKIDS,2021-02-02,kids & babies,L3,77,66,0.025379038,123,0.608392,0.0629371,0.27972,0.510489,0.146853,0.00699301,0.979021,0.013986,1,0,0,0.013986,0.00699301
Pandora,2021-02-11,fashions,L1,121,108,0.093220339,54,0.759825,0.0349345,0.537118,0.406114,0.0218341,0.0393013,0.917031,0.0436681,1,0,0.00436681,0.0218341,0.0305677
ARIOSE years,2021-02-07,accessories,L2,193,114,0.036122029,411,0.592834,0.0130293,0.57329,0.384365,0.029316,0.029316,0.938111,0.0325733,0.993485,0.00651466,0,0.0325733,0.0684039
Asics,2021-02-04,accessories,L4,251,212,0.075104728,409,0.213823,0.0151188,0.434125,0.529158,0.0215983,0.0388769,0.948164,0.012959,0.99784,0.00215983,0,0.0388769,0.0928726
CAIBAI Jewelry,2021-02-02,consumer electronics,L1,254,261,0.053473684,73,0.58835,0.0368932,0.481553,0.458252,0.023301,0.0388349,0.933981,0.0271845,0.994175,0.00582524,0,0.0368932,0.0271845
Miniso,2021-02-02,kids & babies,B1,823,1205,0.064987366,1293,0.786489,0.0700197,0.526627,0.370316,0.0330375,0.00443787,0.975838,0.0197239,0.999014,0.000986193,0,0.0271203,0.0113412
KKV,2021-02-05,fashions,B2,386,1720,0.023886139,1451,0.593067,0.0147198,0.300095,0.639601,0.045584,0.0132953,0.979107,0.00759734,0.991928,0.00807217,0.0014245,0.0460589,0.022792
YSL,2021-02-18,facilities,L1,4556,3389,2.250988142,4257,0.414978,0.118439,0.378099,0.428068,0.0753933,0.00377596,0.965387,0.030837,0.999748,0.000251731,0.000125865,0.0164884,0.00302077
mini peace,2021-02-13,fashions,L3,195,228,0.037842034,536,0.692671,0.0378251,0.456265,0.444444,0.0614657,0.0283688,0.93617,0.035461,1,0,0,0.0236407,0.134752
HairCode,2021-02-06,fashions,B1,391,332,0.009703196,0,0.470263,0.0179806,0.210235,0.482711,0.289073,0.0055325,0.994467,0,0.831259,0.168741,0,0.0290456,0.00138313
TOMMY HILFIGER,2021-02-05,facilities,L1,118,142,0.02734013,551,0.565385,0.05,0.503846,0.419231,0.0269231,0.0538462,0.861539,0.0846154,1,0,0,0.0730769,0.111538
OSIM,2021-02-11,consumer electronics,L4,86,78,0.032724505,276,0.713415,0.0853659,0.231707,0.591463,0.0914634,0,0.969512,0.0304878,1,0,0,0.0121951,0.0426829
Siyuehetun,2021-02-02,kids & babies,L6,54,35,0.024379233,139,0.41573,0,0.438202,0.52809,0.0337079,0.0224719,0.932584,0.0449438,1,0,0,0.011236,0.0674157
EVISUKURO,2021-02-05,fashions,L1,256,242,0.019019316,2192,0.47992,0.0522088,0.481928,0.409639,0.0562249,0.0100402,0.97992,0.0100402,0.995984,0.00401606,0,0.0441767,0.00803213
KT World,2021-02-17,fashions,B1,1114,736,0.025840872,4121,0.349189,0.0232432,0.306486,0.642162,0.0281081,0.0318919,0.965405,0.0027027,1,0,0,0.0205405,0.0108108
Cool zone,2021-02-11,kids & babies,L3,14,10,0.009120521,39,0.75,0.166667,0.166667,0.625,0.0416667,0.0416667,0.875,0.0833333,0.958333,0.0416667,0,0.0833333,0.0416667
Lynn&Milo,2021-02-19,fashions,L3,281,241,0.032132647,969,0.570881,0.212644,0.488506,0.245211,0.0536399,0.00191571,0.965517,0.0325671,1,0,0,0.0344828,0.00574713
DJI,2021-02-17,consumer electronics,B2,102,87,0.002840355,317,0.349206,0.026455,0.312169,0.582011,0.0793651,0.021164,0.973545,0.00529101,0.994709,0.00529101,0,0.0634921,0.010582
Miniso,2021-02-13,kids & babies,B1,2031,2469,0.05300381,4945,0.748,0.0875556,0.459333,0.371778,0.0813333,0.00177778,0.983778,0.0144444,0.999111,0.000888889,0.000222222,0.0122222,0.00577778
