store_name,date,type,floor,enter_number,enter_rate,female_number,female_rate,male_number,male_rate,teenager_number,teenager_rate,youth_number,youth_rate,middle-aged_number,middle-aged_rate,senior_number,senior_rate,dropdown
LynnMilo,2021-02-18,fashions,L3,240,2,139,58,101,42,38,16,70,50,70 ,29,3,5,
LynnMilo,2021-02-19,fashions,L3,281,3,160,57,121,43,60,21,78,49,70 ,25,4,5,
LynnMilo,2021-02-20,fashions,L3,284,3,168,59,116,41,56,20,82,49,77 ,27,4,5,
LynnMilo,2021-02-21,fashions,L3,327,2,183,56,144,44,57,17,86,47,101 ,31,4,5,
LynnMilo,2021-02-22,fashions,L3,214,3,139,65,75,35,35,16,75,54,56 ,26,3,4,
LynnMilo,2021-02-23,fashions,L3,239,3,142,59,97,41,40,17,70,50,69 ,29,3,5,
LynnMilo,2021-02-24,fashions,L3,231,3,139,60,92,40,48,21,67,48,65 ,28,2,3,
LynnMilo,2021-02-25,fashions,L3,276,3,184,67,92,33,58,21,92,50,69 ,25,4,4,
LynnMilo,2021-02-26,fashions,L3,290,3,183,63,107,37,60,21,86,47,78 ,27,4,5,
LynnMilo,2021-02-27,fashions,L3,385,2,230,60,155,40,57,15,114,50,112 ,29,8,7,
LynnMilo,2021-02-28,fashions,L3,427,3,252,59,175,41,71,17,129,51,120 ,28,6,5,
minipeace,2021-02-01,fashions,L3,102,7,75,74,27,26,4,4,32,42,47 ,46,3,8,
minipeace,2021-02-02,fashions,L3,124,7,89,72,35,28,7,6,34,39,64 ,52,1,3,
minipeace,2021-02-03,fashions,L3,139,8,103,74,36,26,4,3,43,41,70 ,50,2,6,
minipeace,2021-02-04,fashions,L3,120,6,86,71,34,29,6,5,37,43,58 ,48,1,3,
minipeace,2021-02-05,fashions,L3,189,9,141,75,48,25,6,3,64,45,85 ,45,4,7,
minipeace,2021-02-06,fashions,L3,338,8,251,74,87,26,18,5,111,44,155 ,46,4,4,
minipeace,2021-02-07,fashions,L3,236,8,185,79,51,21,11,5,76,41,111 ,47,5,7,
minipeace,2021-02-08,fashions,L3,225,7,173,77,52,23,12,5,68,40,106 ,47,5,8,
minipeace,2021-02-09,fashions,L3,361,9,272,75,89,25,22,6,107,39,181 ,50,4,4,
minipeace,2021-02-10,fashions,L3,440,9,336,76,104,24,18,4,154,46,198 ,45,9,6,
